Time,DistanceTotalizer(km)
2026-01-21 15:00:08,152658
2026-01-21 15:00:37,152658
2026-01-21 15:01:06,152658
2026-01-21 15:01:34,152658
2026-01-21 15:02:02,152658
2026-01-21 15:02:31,152658
2026-01-21 15:03:00,152658
2026-01-21 15:03:28,152658
2026-01-21 15:03:57,152658
2026-01-21 15:04:25,152658
2026-01-21 15:04:54,152658
2026-01-21 15:05:22,152658
2026-01-21 15:05:51,152658
2026-01-21 15:06:19,152658
2026-01-21 15:06:48,152658
2026-01-21 15:07:16,152658
2026-01-21 15:07:45,152658
2026-01-21 15:09:23,152658
2026-01-21 15:10:48,152658
2026-01-21 15:12:14,152658
2026-01-21 15:14:04,152658
2026-01-21 15:14:32,152658
2026-01-21 15:15:01,152658
2026-01-21 15:15:04,152659
2026-01-21 15:15:30,152659
2026-01-21 15:15:58,152659
2026-01-21 15:16:26,152659
2026-01-21 15:16:55,152659
2026-01-21 15:17:24,152659
2026-01-21 15:19:12,152659
2026-01-21 15:20:37,152659
2026-01-21 15:22:03,152659
2026-01-21 15:36:17,152659
2026-01-21 15:36:46,152659
2026-01-21 15:37:15,152659
2026-01-21 15:37:43,152659
2026-01-21 15:39:13,152659
2026-01-21 15:40:39,152659
2026-01-21 15:42:05,152659
2026-01-21 15:43:29,152659
2026-01-21 15:43:58,152659
2026-01-21 15:44:26,152659
2026-01-21 15:44:55,152659
2026-01-21 15:45:23,152659
2026-01-21 15:45:52,152659
2026-01-21 15:46:19,152660
2026-01-21 15:46:20,152659
2026-01-21 15:46:49,152660
2026-01-21 15:47:17,152660
2026-01-21 15:47:46,152660
2026-01-21 15:48:14,152660
2026-01-21 15:48:19,152661
2026-01-21 15:48:43,152661
2026-01-21 15:49:11,152661
2026-01-21 15:49:40,152661
2026-01-21 15:50:08,152661
2026-01-21 15:50:17,152662
2026-01-21 15:50:37,152662
2026-01-21 15:51:05,152662
2026-01-21 15:51:34,152662
2026-01-21 15:52:02,152662
2026-01-21 15:52:31,152662
2026-01-21 15:52:59,152662
2026-01-21 15:53:28,152662
2026-01-21 15:53:57,152662
2026-01-21 15:54:06,152663
2026-01-21 15:54:25,152663
2026-01-21 15:54:53,152663
2026-01-21 15:55:22,152663
2026-01-21 15:55:50,152663
2026-01-21 15:56:19,152663
2026-01-21 15:58:13,152664
2026-01-21 15:59:09,152665
2026-01-21 15:59:38,152665
2026-01-21 16:00:06,152665
2026-01-21 16:00:35,152665
2026-01-21 16:01:03,152665
2026-01-21 16:01:32,152665
2026-01-21 16:01:40,152666
2026-01-21 16:02:00,152666
2026-01-21 16:02:29,152666
2026-01-21 16:02:57,152666
2026-01-21 16:03:26,152666
2026-01-21 16:03:54,152666
2026-01-21 16:04:23,152666
2026-01-21 16:04:51,152666
2026-01-21 16:05:20,152666
2026-01-21 16:05:48,152666
2026-01-21 16:06:04,152667
2026-01-21 16:06:17,152667
2026-01-21 16:06:45,152667
2026-01-21 16:07:14,152667
2026-01-21 16:07:42,152667
2026-01-21 16:08:11,152667
2026-01-21 16:08:39,152667
2026-01-21 16:09:08,152667
2026-01-21 16:09:36,152667
2026-01-21 16:11:14,152667
2026-01-21 16:12:39,152667
2026-01-21 16:14:04,152667
2026-01-21 16:48:36,152667
2026-01-21 16:49:04,152667
2026-01-21 16:49:32,152667
2026-01-21 16:50:01,152667
2026-01-21 16:50:29,152667
2026-01-21 16:50:58,152667
2026-01-21 16:51:26,152667
2026-01-21 16:52:54,152667
2026-01-21 16:53:22,152667
2026-01-21 16:55:01,152667
2026-01-21 16:56:13,152667
2026-01-21 16:56:42,152667
2026-01-21 16:57:11,152667
2026-01-21 16:57:39,152667
2026-01-21 16:58:07,152667
2026-01-21 16:58:36,152667
2026-01-21 16:59:05,152667
2026-01-21 16:59:33,152667
2026-01-21 17:00:02,152667
2026-01-21 17:00:30,152667
2026-01-21 17:02:17,152667
2026-01-21 17:03:53,152667
2026-01-21 17:05:19,152667
2026-01-21 17:06:45,152667
2026-01-21 17:09:33,152667
2026-01-21 17:10:02,152667
2026-01-21 17:10:30,152667
2026-01-21 17:10:59,152667
2026-01-21 17:12:45,152667
2026-01-21 17:14:11,152667
2026-01-21 17:15:37,152667
2026-01-21 17:48:16,152667
2026-01-21 17:48:45,152667
2026-01-21 17:55:20,152667
2026-01-21 17:56:46,152667
2026-01-21 17:58:11,152667
